Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
2MASSI J0847287-153237,Hydra,8h 47m 28.72s,−15° 32′ 37.2″,-,43,L2
2MASS J08533619-0329321,-,8h 53m 36.19s,−3° 29′ 32.1″,-,27.6,M9
2MASSI J0859254-194926,Pyxis,8h 59m 25.47s,−19° 49′ 26.8″,-,50,L6
2MASSW J0920122+351742,Lynx,9h 20m 12.23s,35° 17′ 42.9″,-,95,L6.5,-
2MASSI J0937347+293142,Leo,9h 37m 34.87s,29° 31′ 40.9″,-,20.0,T6p
2MASS 0939−2448,Antlia,9h 39m 35.48s,−24° 48′ 27.9″,16.83,17.4,T8
2MASS J09490860-1545485,Hydra,9h 49m 8.6s,−15° 45′ 48.5″,-,59,T2
2MASS J10073369-4555147,-,10h 7m 33.69s,−45° 55′ 14.7″,-,46,T5
2MASSI J1010148-040649,Sextans,10h 10m 14.8s,−4° 6′ 49.9″,-,55,L6
2MASSI J1017075+130839,Leo,10h 17m 7.54s,13° 8′ 39.8″,17.4,108,L2:,-
SDSS J102109.69-030420.1,-,10h 21m 9.69s,−3° 4′ 19.7″,-,95,T3,-
2MASS J10224821+5825453,Ursa Major,10h 22m 48.21s,58° 25′ 45.3″,-,60,L1β
2MASSW J1036530-344138,Antlia,10h 36m 53.05s,−34° 41′ 38″,-,53,L6
2MASS J1047538+212423,Leo,10h 47m 53.85s,21° 24′ 23.4″,15.8,34.4,T6.5
DEN 1048-3956,Antlia,10h 48m 14.64s,−39° 56′ 6.2″,17.4,13.15,M9
Luhman 16,Vela,10h 49m 18.91s,−53° 19′ 10″,-,6.516,T1
Luhman 16,Vela,10h 49m 18.91s,−53° 19′ 10″,-,6.516,L8
DENIS-P J1058.7−1548,Crater,10h 58m 47.87s,−15° 48′ 17.2″,14.155,49,L3
TWA 28,-,11h 2m 9.83s,−34° 30′ 35.5″,-,180,M8.5γ
Cha 110913-773444,Chamaeleon,11h 9m 14s,–77° 34′ 45″,21.59,163,L
OTS 44,Chamaeleon,11h 10m 12s,–76° 32′ 13″,-,554,M9.5V
SDSS J111010.01+011613.1,-,11h 10m 10.01s,1° 16′ 13″,-,63,T5.5p
2MASS J11145133−2618235,Hydra,11h 14m 51.33s,−26° 18′ 23.5″,15.86,18.2,T7.5
TWA 26,-,11h 39m 51.14s,−31° 59′ 21.5″,-,137,M9γ
2MASSW J1146345+223053,-,11h 46m 34.49s,22° 30′ 52.7″,-,89,L3,-
2MASS J11544223-3400390,Hydra,11h 54m 42.23s,−34° 0′ 39″,14.2,129,L0β
2MASSW J1155395-372735,Centaurus,11h 55m 39.52s,−37° 27′ 35″,12.8,31,L2
TWA 27A,-,12h 7m 33.46s,−39° 32′ 54″,-,-,M8,-
TWA 27B,-,12h 7m 33.5s,−39° 32′ 54.4″,-,-,M8γ,-
2MASS J12074836-3900043,-,12h 7m 48.36s,−39° 0′ 4.4″,-,217,L0γ
2MASSI J1217110-031113,Virgo,12h 17m 11.1s,−3° 11′ 13.1″,15.86,36,T7.5
2MASS J12255432-2739466,-,12h 25m 54.32s,−27° 39′ 46.6″,-,43,T6,-
DENIS-P J1228.2-1547,Corvus,12h 28m 15.23s,−15° 47′ 34.2″,14.38,66,L5,-
2M 1237+6526,Draco,12h 37m 39.19s,65° 26′ 14.8″,16.05,45.6,T6.5
2MASSW J1239272+551537,Ursa Major,12h 39m 27.27s,55° 15′ 37.1″,14.7,119,L5,-
